pID,trialNum,walk,respR,respL,path
16,1,1,"['k', 'semicolon']","['d', 'space']",img/target_14.png
16,2,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
16,3,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
16,4,4,"['j', 'l']","['s', 'f']",img/target_11.png
16,5,5,"['space', 'l']","['a', 'f']",img/target_8.png
16,6,6,"['j', 'k']","['s', 'd']",img/target_10.png
16,7,7,"['space', 'k']","['a', 'd']",img/target_7.png
16,8,8,"['k', 'l']","['d', 'f']",img/target_13.png
16,9,9,"['j', 'semicolon']","['s', 'space']",img/target_12.png
16,10,10,"['space', 'j']","['a', 's']",img/target_6.png
