pID,trialNum,walk,respR,respL,path
7,1,1,"['j', 'semicolon']","['s', 'space']",img/target_12.png
7,2,2,"['space', 'l']","['a', 'f']",img/target_8.png
7,3,3,"['k', 'semicolon']","['d', 'space']",img/target_14.png
7,4,4,"['space', 'j']","['a', 's']",img/target_6.png
7,5,5,"['space', 'semicolon']","['a', 'space']",img/target_9.png
7,6,6,"['j', 'k']","['s', 'd']",img/target_10.png
7,7,7,"['space', 'k']","['a', 'd']",img/target_7.png
7,8,8,"['j', 'l']","['s', 'f']",img/target_11.png
7,9,9,"['k', 'l']","['d', 'f']",img/target_13.png
7,10,10,"['l', 'semicolon']","['f', 'space']",img/target_15.png
