pID,trialNum,walk,respR,respL,path
44,1,1,"['space', 'l']","['a', 'f']",img/target_8.png
44,2,2,"['j', 'semicolon']","['s', 'space']",img/target_12.png
44,3,3,"['space', 'k']","['a', 'd']",img/target_7.png
44,4,4,"['j', 'k']","['s', 'd']",img/target_10.png
44,5,5,"['space', 'semicolon']","['a', 'space']",img/target_9.png
44,6,6,"['l', 'semicolon']","['f', 'space']",img/target_15.png
44,7,7,"['k', 'semicolon']","['d', 'space']",img/target_14.png
44,8,8,"['j', 'l']","['s', 'f']",img/target_11.png
44,9,9,"['space', 'j']","['a', 's']",img/target_6.png
44,10,10,"['k', 'l']","['d', 'f']",img/target_13.png
