pID,trialNum,walk,respR,respL,path
22,1,1,"['j', 'semicolon']","['s', 'space']",img/target_12.png
22,2,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
22,3,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
22,4,4,"['j', 'k']","['s', 'd']",img/target_10.png
22,5,5,"['space', 'j']","['a', 's']",img/target_6.png
22,6,6,"['space', 'l']","['a', 'f']",img/target_8.png
22,7,7,"['j', 'l']","['s', 'f']",img/target_11.png
22,8,8,"['k', 'l']","['d', 'f']",img/target_13.png
22,9,9,"['space', 'k']","['a', 'd']",img/target_7.png
22,10,10,"['k', 'semicolon']","['d', 'space']",img/target_14.png
