pID,trialNum,walk,respR,respL,path
2,1,1,"['j', 'semicolon']","['s', 'space']",img/target_12.png
2,2,2,"['j', 'k']","['s', 'd']",img/target_10.png
2,3,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
2,4,4,"['space', 'j']","['a', 's']",img/target_6.png
2,5,5,"['space', 'semicolon']","['a', 'space']",img/target_9.png
2,6,6,"['k', 'l']","['d', 'f']",img/target_13.png
2,7,7,"['space', 'k']","['a', 'd']",img/target_7.png
2,8,8,"['k', 'semicolon']","['d', 'space']",img/target_14.png
2,9,9,"['space', 'l']","['a', 'f']",img/target_8.png
2,10,10,"['j', 'l']","['s', 'f']",img/target_11.png
