pID,sess,trialNum,graph,walk,resp,path
34,3,1,modular,9,e,img/target_3.png
34,3,2,modular,8,o,img/target_9.png
34,3,3,modular,5,b,img/target_6.png
34,3,4,modular,7,i,img/target_8.png
34,3,5,modular,9,e,img/target_3.png
34,3,6,modular,0,u,img/target_7.png
34,3,7,modular,2,q,img/target_1.png
34,3,8,modular,4,v,img/target_5.png
34,3,9,modular,5,b,img/target_6.png
34,3,10,modular,4,v,img/target_5.png
34,3,11,modular,5,b,img/target_6.png
34,3,12,modular,6,r,img/target_4.png
34,3,13,modular,8,o,img/target_9.png
34,3,14,modular,7,i,img/target_8.png
34,3,15,modular,5,b,img/target_6.png
34,3,16,modular,7,i,img/target_8.png
34,3,17,modular,9,e,img/target_3.png
34,3,18,modular,8,o,img/target_9.png
34,3,19,modular,9,e,img/target_3.png
34,3,20,modular,6,r,img/target_4.png
34,3,21,modular,7,i,img/target_8.png
34,3,22,modular,8,o,img/target_9.png
34,3,23,modular,5,b,img/target_6.png
34,3,24,modular,7,i,img/target_8.png
34,3,25,modular,9,e,img/target_3.png
34,3,26,modular,8,o,img/target_9.png
34,3,27,modular,9,e,img/target_3.png
34,3,28,modular,6,r,img/target_4.png
34,3,29,modular,9,e,img/target_3.png
34,3,30,modular,8,o,img/target_9.png
34,3,31,modular,7,i,img/target_8.png
34,3,32,modular,5,b,img/target_6.png
34,3,33,modular,4,v,img/target_5.png
34,3,34,modular,2,q,img/target_1.png
34,3,35,modular,0,u,img/target_7.png
34,3,36,modular,9,e,img/target_3.png
34,3,37,modular,0,u,img/target_7.png
34,3,38,modular,2,q,img/target_1.png
34,3,39,modular,4,v,img/target_5.png
34,3,40,modular,3,p,img/target_10.png
34,3,41,modular,1,w,img/target_2.png
34,3,42,modular,3,p,img/target_10.png
34,3,43,modular,0,u,img/target_7.png
34,3,44,modular,1,w,img/target_2.png
34,3,45,modular,0,u,img/target_7.png
34,3,46,modular,1,w,img/target_2.png
34,3,47,modular,3,p,img/target_10.png
34,3,48,modular,4,v,img/target_5.png
34,3,49,modular,5,b,img/target_6.png
34,3,50,modular,6,r,img/target_4.png
34,3,51,modular,7,i,img/target_8.png
34,3,52,modular,6,r,img/target_4.png
34,3,53,modular,7,i,img/target_8.png
34,3,54,modular,8,o,img/target_9.png
34,3,55,modular,6,r,img/target_4.png
34,3,56,modular,7,i,img/target_8.png
34,3,57,modular,9,e,img/target_3.png
34,3,58,modular,7,i,img/target_8.png
34,3,59,modular,6,r,img/target_4.png
34,3,60,modular,9,e,img/target_3.png
34,3,61,modular,7,i,img/target_8.png
34,3,62,modular,8,o,img/target_9.png
34,3,63,modular,9,e,img/target_3.png
34,3,64,modular,6,r,img/target_4.png
34,3,65,modular,5,b,img/target_6.png
34,3,66,modular,8,o,img/target_9.png
34,3,67,modular,5,b,img/target_6.png
34,3,68,modular,7,i,img/target_8.png
34,3,69,modular,9,e,img/target_3.png
34,3,70,modular,7,i,img/target_8.png
34,3,71,modular,5,b,img/target_6.png
34,3,72,modular,6,r,img/target_4.png
34,3,73,modular,9,e,img/target_3.png
34,3,74,modular,0,u,img/target_7.png
34,3,75,modular,9,e,img/target_3.png
34,3,76,modular,8,o,img/target_9.png
34,3,77,modular,9,e,img/target_3.png
34,3,78,modular,0,u,img/target_7.png
34,3,79,modular,9,e,img/target_3.png
34,3,80,modular,0,u,img/target_7.png
34,3,81,modular,9,e,img/target_3.png
34,3,82,modular,6,r,img/target_4.png
34,3,83,modular,5,b,img/target_6.png
34,3,84,modular,7,i,img/target_8.png
34,3,85,modular,8,o,img/target_9.png
34,3,86,modular,6,r,img/target_4.png
34,3,87,modular,9,e,img/target_3.png
34,3,88,modular,0,u,img/target_7.png
34,3,89,modular,9,e,img/target_3.png
34,3,90,modular,0,u,img/target_7.png
34,3,91,modular,1,w,img/target_2.png
34,3,92,modular,0,u,img/target_7.png
34,3,93,modular,1,w,img/target_2.png
