pID,trialNum,walk,respR,respL,path
17,1,1,"['l', 'semicolon']","['f', 'space']",img/target_15.png
17,2,2,"['space', 'k']","['a', 'd']",img/target_7.png
17,3,3,"['k', 'semicolon']","['d', 'space']",img/target_14.png
17,4,4,"['space', 'l']","['a', 'f']",img/target_8.png
17,5,5,"['k', 'l']","['d', 'f']",img/target_13.png
17,6,6,"['j', 'k']","['s', 'd']",img/target_10.png
17,7,7,"['space', 'semicolon']","['a', 'space']",img/target_9.png
17,8,8,"['j', 'l']","['s', 'f']",img/target_11.png
17,9,9,"['j', 'semicolon']","['s', 'space']",img/target_12.png
17,10,10,"['space', 'j']","['a', 's']",img/target_6.png
