respL,graph,trialNum,path,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['a', 'f']",modular,802,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,749.3916015625,"['a', 'f']",0.6933600902557373,801.0
"['d', 'space']",modular,803,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,0.0,750.1754150390625,"['d', 'space']",0.5255260467529297,802.0
"['a', 'd']",modular,804,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,751.091064453125,"['a', 'd']",0.6821060180664062,803.0
"['d', 'f']",modular,805,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,751.87548828125,"['d', 'f']",0.6990089416503906,804.0
"['d', 'space']",modular,806,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,752.6754760742188,"['d', 'space']",0.7294809818267822,805.0
"['a', 's']",modular,807,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,753.4915161132812,"['a', 's']",0.6573688983917236,806.0
"['s', 'f']",modular,808,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,754.245361328125,"['f', 's']",0.7583310604095459,807.0
"['s', 'space']",modular,809,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,755.0928344726562,"['s', 'space']",0.7676270008087158,808.0
"['a', 'space']",modular,810,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,755.9589233398438,"['a', 'space']",0.6290621757507324,809.0
"['f', 'space']",modular,811,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,756.6751098632812,"['f', 'space']",0.7295680046081543,810.0
"['d', 'f']",modular,812,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,757.4924926757812,"['d', 'f']",0.5593349933624268,811.0
"['a', 'f']",modular,813,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,758.14306640625,"['a', 'f']",0.6367619037628174,812.0
"['d', 'space']",modular,814,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,758.8761596679688,"['d', 'space']",0.6004509925842285,813.0
"['a', 's']",modular,815,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,759.5756225585938,"['a', 's']",0.692119836807251,814.0
"['s', 'd']",modular,816,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,760.3594970703125,"['d', 's']",0.6293158531188965,815.0
"['a', 'space']",modular,817,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,761.0763549804688,"['a', 'space']",0.663214921951294,816.0
"['f', 'space']",modular,818,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,761.8265380859375,"['f', 'space']",0.7145340442657471,817.0
"['a', 'space']",modular,819,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,762.6263427734375,"['a', 'space']",0.6582341194152832,818.0
"['s', 'f']",modular,820,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,763.376220703125,"['f', 's']",0.8361620903015137,819.0
"['a', 's']",modular,821,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,764.310546875,"['a', 's']",0.6690571308135986,820.0
"['s', 'space']",modular,822,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,765.075927734375,"['s', 'space']",0.6075890064239502,821.0
"['a', 'space']",modular,823,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,765.7763671875,"['a', 'space']",0.6044158935546875,822.0
"['s', 'space']",modular,824,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,766.4760131835938,"['s', 'space']",0.6792559623718262,823.0
"['a', 'space']",modular,825,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,767.2429809570312,"['a', 'space']",0.5616490840911865,824.0
