respL,path,trialNum,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['a', 'd']",img/target_7.png,1,48,"['space', 'k']",1,0.05000000074505806,0.0,0.004311084747314453,"['a', 'd']",2.063401937484741,0.0
"['d', 'f']",img/target_13.png,2,48,"['k', 'l']",2,0.05000000074505806,1.0,4.436478137969971,"['d', 'f']",0.8241720199584961,1.0
"['a', 'f']",img/target_8.png,3,48,"['space', 'l']",3,0.05000000074505806,0.0,5.353888988494873,"['a', 'f']",0.6416630744934082,2.0
"['f', 'space']",img/target_15.png,4,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,7.870100975036621,"['f', 'space']",0.7493481636047363,3.0
"['a', 'space']",img/target_9.png,5,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,8.703134536743164,"['a', 'space']",0.6762189865112305,4.0
"['s', 'space']",img/target_12.png,6,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,9.4705228805542,"['s', 'space']",0.677778959274292,5.0
"['s', 'd']",img/target_10.png,7,48,"['j', 'k']",7,0.05000000074505806,1.0,10.236732482910156,"['d', 's']",0.6545190811157227,6.0
"['s', 'f']",img/target_11.png,8,48,"['j', 'l']",8,0.05000000074505806,1.0,10.987300872802734,"['f', 's']",0.7847979068756104,7.0
"['a', 's']",img/target_6.png,9,48,"['space', 'j']",9,0.05000000074505806,1.0,11.871031761169434,"['a', 's']",0.6281230449676514,8.0
"['d', 'space']",img/target_14.png,10,48,"['k', 'semicolon']",10,0.05000000074505806,1.0,12.587120056152344,"['d', 'space']",0.6652970314025879,9.0
