pID,trialNum,walk,respR,respL,path
43,1,1,"['space', 'semicolon']","['a', 'space']",img/target_9.png
43,2,2,"['space', 'l']","['a', 'f']",img/target_8.png
43,3,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
43,4,4,"['space', 'k']","['a', 'd']",img/target_7.png
43,5,5,"['k', 'semicolon']","['d', 'space']",img/target_14.png
43,6,6,"['j', 'k']","['s', 'd']",img/target_10.png
43,7,7,"['space', 'j']","['a', 's']",img/target_6.png
43,8,8,"['j', 'semicolon']","['s', 'space']",img/target_12.png
43,9,9,"['k', 'l']","['d', 'f']",img/target_13.png
43,10,10,"['j', 'l']","['s', 'f']",img/target_11.png
