pID,sess,trialNum,graph,walk,resp,path
55,1,1,lattice,4,w,img/target_2.png
55,1,2,lattice,6,b,img/target_6.png
55,1,3,lattice,4,w,img/target_2.png
55,1,4,lattice,2,o,img/target_9.png
55,1,5,lattice,1,p,img/target_10.png
55,1,6,lattice,9,u,img/target_7.png
55,1,7,lattice,7,e,img/target_3.png
55,1,8,lattice,6,b,img/target_6.png
55,1,9,lattice,5,v,img/target_5.png
55,1,10,lattice,4,w,img/target_2.png
55,1,11,lattice,6,b,img/target_6.png
55,1,12,lattice,8,q,img/target_1.png
55,1,13,lattice,7,e,img/target_3.png
55,1,14,lattice,8,q,img/target_1.png
55,1,15,lattice,9,u,img/target_7.png
55,1,16,lattice,8,q,img/target_1.png
55,1,17,lattice,7,e,img/target_3.png
55,1,18,lattice,9,u,img/target_7.png
55,1,19,lattice,1,p,img/target_10.png
55,1,20,lattice,3,r,img/target_4.png
55,1,21,lattice,4,w,img/target_2.png
55,1,22,lattice,3,r,img/target_4.png
55,1,23,lattice,5,v,img/target_5.png
55,1,24,lattice,7,e,img/target_3.png
55,1,25,lattice,6,b,img/target_6.png
55,1,26,lattice,4,w,img/target_2.png
55,1,27,lattice,6,b,img/target_6.png
55,1,28,lattice,8,q,img/target_1.png
55,1,29,lattice,0,i,img/target_8.png
55,1,30,lattice,8,q,img/target_1.png
55,1,31,lattice,0,i,img/target_8.png
55,1,32,lattice,1,p,img/target_10.png
55,1,33,lattice,2,o,img/target_9.png
55,1,34,lattice,3,r,img/target_4.png
55,1,35,lattice,5,v,img/target_5.png
55,1,36,lattice,7,e,img/target_3.png
55,1,37,lattice,6,b,img/target_6.png
55,1,38,lattice,4,w,img/target_2.png
55,1,39,lattice,5,v,img/target_5.png
55,1,40,lattice,3,r,img/target_4.png
55,1,41,lattice,1,p,img/target_10.png
55,1,42,lattice,2,o,img/target_9.png
55,1,43,lattice,1,p,img/target_10.png
55,1,44,lattice,2,o,img/target_9.png
55,1,45,lattice,4,w,img/target_2.png
55,1,46,lattice,5,v,img/target_5.png
55,1,47,lattice,4,w,img/target_2.png
55,1,48,lattice,5,v,img/target_5.png
