pID,trialNum,walk,respR,respL,path
34,1,1,"['k', 'l']","['d', 'f']",img/target_13.png
34,2,2,"['k', 'semicolon']","['d', 'space']",img/target_14.png
34,3,3,"['space', 'semicolon']","['a', 'space']",img/target_9.png
34,4,4,"['j', 'l']","['s', 'f']",img/target_11.png
34,5,5,"['space', 'k']","['a', 'd']",img/target_7.png
34,6,6,"['j', 'k']","['s', 'd']",img/target_10.png
34,7,7,"['l', 'semicolon']","['f', 'space']",img/target_15.png
34,8,8,"['space', 'l']","['a', 'f']",img/target_8.png
34,9,9,"['j', 'semicolon']","['s', 'space']",img/target_12.png
34,10,10,"['space', 'j']","['a', 's']",img/target_6.png
