pID,trialNum,walk,respR,respL,path
18,1,1,"['j', 'l']","['s', 'f']",img/target_11.png
18,2,2,"['j', 'k']","['s', 'd']",img/target_10.png
18,3,3,"['k', 'semicolon']","['d', 'space']",img/target_14.png
18,4,4,"['space', 'k']","['a', 'd']",img/target_7.png
18,5,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
18,6,6,"['l', 'semicolon']","['f', 'space']",img/target_15.png
18,7,7,"['space', 'semicolon']","['a', 'space']",img/target_9.png
18,8,8,"['space', 'l']","['a', 'f']",img/target_8.png
18,9,9,"['k', 'l']","['d', 'f']",img/target_13.png
18,10,10,"['space', 'j']","['a', 's']",img/target_6.png
