pID,trialNum,graph,walk,resp,path
2,790,modular,4,o,img/target_9.png
2,791,modular,5,e,img/target_3.png
2,792,modular,4,o,img/target_9.png
2,793,modular,3,r,img/target_4.png
2,794,modular,4,o,img/target_9.png
2,795,modular,5,e,img/target_3.png
2,796,modular,6,i,img/target_8.png
2,797,modular,8,b,img/target_6.png
2,798,modular,7,v,img/target_5.png
2,799,modular,8,b,img/target_6.png
2,800,modular,6,i,img/target_8.png
2,801,modular,7,v,img/target_5.png
2,802,modular,5,e,img/target_3.png
2,803,modular,6,i,img/target_8.png
2,804,modular,5,e,img/target_3.png
2,805,modular,4,o,img/target_9.png
2,806,modular,3,r,img/target_4.png
2,807,modular,2,q,img/target_1.png
2,808,modular,0,w,img/target_2.png
2,809,modular,2,q,img/target_1.png
2,810,modular,3,r,img/target_4.png
2,811,modular,2,q,img/target_1.png
2,812,modular,3,r,img/target_4.png
2,813,modular,1,u,img/target_7.png
2,814,modular,3,r,img/target_4.png
2,815,modular,0,w,img/target_2.png
2,816,modular,2,q,img/target_1.png
2,817,modular,0,w,img/target_2.png
2,818,modular,3,r,img/target_4.png
2,819,modular,0,w,img/target_2.png
2,820,modular,2,q,img/target_1.png
2,821,modular,4,o,img/target_9.png
2,822,modular,5,e,img/target_3.png
2,823,modular,8,b,img/target_6.png
2,824,modular,9,p,img/target_10.png
2,825,modular,7,v,img/target_5.png
2,826,modular,8,b,img/target_6.png
2,827,modular,7,v,img/target_5.png
2,828,modular,9,p,img/target_10.png
2,829,modular,0,w,img/target_2.png
2,830,modular,3,r,img/target_4.png
2,831,modular,1,u,img/target_7.png
2,832,modular,4,o,img/target_9.png
2,833,modular,2,q,img/target_1.png
2,834,modular,0,w,img/target_2.png
2,835,modular,9,p,img/target_10.png
2,836,modular,7,v,img/target_5.png
2,837,modular,9,p,img/target_10.png
2,838,modular,6,i,img/target_8.png
2,839,modular,8,b,img/target_6.png
2,840,modular,9,p,img/target_10.png
2,841,modular,6,i,img/target_8.png
2,842,modular,5,e,img/target_3.png
2,843,modular,6,i,img/target_8.png
2,844,modular,7,v,img/target_5.png
2,845,modular,8,b,img/target_6.png
2,846,modular,6,i,img/target_8.png
2,847,modular,8,b,img/target_6.png
2,848,modular,6,i,img/target_8.png
2,849,modular,5,e,img/target_3.png
2,850,modular,7,v,img/target_5.png
2,851,modular,9,p,img/target_10.png
2,852,modular,6,i,img/target_8.png
2,853,modular,7,v,img/target_5.png
2,854,modular,8,b,img/target_6.png
2,855,modular,5,e,img/target_3.png
2,856,modular,4,o,img/target_9.png
2,857,modular,3,r,img/target_4.png
2,858,modular,2,q,img/target_1.png
2,859,modular,4,o,img/target_9.png
2,860,modular,2,q,img/target_1.png
2,861,modular,0,w,img/target_2.png
2,862,modular,3,r,img/target_4.png
2,863,modular,0,w,img/target_2.png
2,864,modular,2,q,img/target_1.png
2,865,modular,3,r,img/target_4.png
2,866,modular,1,u,img/target_7.png
2,867,modular,3,r,img/target_4.png
2,868,modular,2,q,img/target_1.png
2,869,modular,3,r,img/target_4.png
2,870,modular,4,o,img/target_9.png
2,871,modular,3,r,img/target_4.png
2,872,modular,4,o,img/target_9.png
2,873,modular,1,u,img/target_7.png
2,874,modular,4,o,img/target_9.png
2,875,modular,5,e,img/target_3.png
2,876,modular,6,i,img/target_8.png
2,877,modular,8,b,img/target_6.png
2,878,modular,9,p,img/target_10.png
2,879,modular,6,i,img/target_8.png
2,880,modular,5,e,img/target_3.png
2,881,modular,6,i,img/target_8.png
2,882,modular,8,b,img/target_6.png
2,883,modular,5,e,img/target_3.png
2,884,modular,4,o,img/target_9.png
2,885,modular,3,r,img/target_4.png
2,886,modular,1,u,img/target_7.png
2,887,modular,0,w,img/target_2.png
2,888,modular,1,u,img/target_7.png
2,889,modular,4,o,img/target_9.png
2,890,modular,3,r,img/target_4.png
2,891,modular,0,w,img/target_2.png
2,892,modular,2,q,img/target_1.png
2,893,modular,1,u,img/target_7.png
2,894,modular,0,w,img/target_2.png
2,895,modular,2,q,img/target_1.png
2,896,modular,4,o,img/target_9.png
2,897,modular,1,u,img/target_7.png
2,898,modular,2,q,img/target_1.png
2,899,modular,3,r,img/target_4.png
2,900,modular,4,o,img/target_9.png
2,901,modular,2,q,img/target_1.png
2,902,modular,4,o,img/target_9.png
2,903,modular,2,q,img/target_1.png
2,904,modular,3,r,img/target_4.png
2,905,modular,2,q,img/target_1.png
2,906,modular,3,r,img/target_4.png
2,907,modular,1,u,img/target_7.png
2,908,modular,4,o,img/target_9.png
2,909,modular,5,e,img/target_3.png
2,910,modular,4,o,img/target_9.png
2,911,modular,1,u,img/target_7.png
2,912,modular,3,r,img/target_4.png
2,913,modular,0,w,img/target_2.png
2,914,modular,3,r,img/target_4.png
2,915,modular,0,w,img/target_2.png
2,916,modular,9,p,img/target_10.png
2,917,modular,8,b,img/target_6.png
2,918,modular,6,i,img/target_8.png
2,919,modular,9,p,img/target_10.png
2,920,modular,6,i,img/target_8.png
2,921,modular,9,p,img/target_10.png
2,922,modular,6,i,img/target_8.png
2,923,modular,5,e,img/target_3.png
2,924,modular,6,i,img/target_8.png
2,925,modular,5,e,img/target_3.png
2,926,modular,4,o,img/target_9.png
2,927,modular,3,r,img/target_4.png
2,928,modular,1,u,img/target_7.png
2,929,modular,4,o,img/target_9.png
2,930,modular,5,e,img/target_3.png
2,931,modular,8,b,img/target_6.png
2,932,modular,5,e,img/target_3.png
2,933,modular,6,i,img/target_8.png
2,934,modular,9,p,img/target_10.png
2,935,modular,8,b,img/target_6.png
2,936,modular,5,e,img/target_3.png
2,937,modular,8,b,img/target_6.png
2,938,modular,5,e,img/target_3.png
2,939,modular,7,v,img/target_5.png
2,940,modular,5,e,img/target_3.png
2,941,modular,7,v,img/target_5.png
2,942,modular,9,p,img/target_10.png
2,943,modular,7,v,img/target_5.png
2,944,modular,9,p,img/target_10.png
2,945,modular,8,b,img/target_6.png
2,946,modular,7,v,img/target_5.png
2,947,modular,5,e,img/target_3.png
2,948,modular,7,v,img/target_5.png
2,949,modular,6,i,img/target_8.png
2,950,modular,7,v,img/target_5.png
2,951,modular,9,p,img/target_10.png
2,952,modular,6,i,img/target_8.png
2,953,modular,9,p,img/target_10.png
2,954,modular,8,b,img/target_6.png
2,955,modular,9,p,img/target_10.png
2,956,modular,0,w,img/target_2.png
2,957,modular,1,u,img/target_7.png
2,958,modular,3,r,img/target_4.png
2,959,modular,0,w,img/target_2.png
2,960,modular,3,r,img/target_4.png
2,961,modular,1,u,img/target_7.png
2,962,modular,4,o,img/target_9.png
2,963,modular,5,e,img/target_3.png
2,964,modular,8,b,img/target_6.png
2,965,modular,7,v,img/target_5.png
2,966,modular,6,i,img/target_8.png
2,967,modular,7,v,img/target_5.png
2,968,modular,6,i,img/target_8.png
2,969,modular,9,p,img/target_10.png
2,970,modular,7,v,img/target_5.png
2,971,modular,6,i,img/target_8.png
2,972,modular,9,p,img/target_10.png
2,973,modular,8,b,img/target_6.png
2,974,modular,5,e,img/target_3.png
2,975,modular,8,b,img/target_6.png
2,976,modular,6,i,img/target_8.png
2,977,modular,9,p,img/target_10.png
2,978,modular,8,b,img/target_6.png
2,979,modular,7,v,img/target_5.png
2,980,modular,5,e,img/target_3.png
2,981,modular,4,o,img/target_9.png
2,982,modular,5,e,img/target_3.png
2,983,modular,7,v,img/target_5.png
2,984,modular,6,i,img/target_8.png
2,985,modular,8,b,img/target_6.png
2,986,modular,7,v,img/target_5.png
2,987,modular,8,b,img/target_6.png
2,988,modular,9,p,img/target_10.png
2,989,modular,0,w,img/target_2.png
2,990,modular,1,u,img/target_7.png
2,991,modular,4,o,img/target_9.png
2,992,modular,2,q,img/target_1.png
2,993,modular,0,w,img/target_2.png
2,994,modular,2,q,img/target_1.png
2,995,modular,3,r,img/target_4.png
2,996,modular,0,w,img/target_2.png
2,997,modular,3,r,img/target_4.png
2,998,modular,2,q,img/target_1.png
2,999,modular,4,o,img/target_9.png
2,1000,modular,1,u,img/target_7.png
