pID,trialNum,walk,respR,respL,path
46,1,1,"['space', 'l']","['a', 'f']",img/target_8.png
46,2,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
46,3,3,"['j', 'semicolon']","['s', 'space']",img/target_12.png
46,4,4,"['space', 'j']","['a', 's']",img/target_6.png
46,5,5,"['k', 'semicolon']","['d', 'space']",img/target_14.png
46,6,6,"['l', 'semicolon']","['f', 'space']",img/target_15.png
46,7,7,"['j', 'k']","['s', 'd']",img/target_10.png
46,8,8,"['j', 'l']","['s', 'f']",img/target_11.png
46,9,9,"['space', 'k']","['a', 'd']",img/target_7.png
46,10,10,"['k', 'l']","['d', 'f']",img/target_13.png
