pID,trialNum,walk,respR,respL,path
23,1,1,"['space', 'j']","['a', 's']",img/target_6.png
23,2,2,"['k', 'l']","['d', 'f']",img/target_13.png
23,3,3,"['space', 'k']","['a', 'd']",img/target_7.png
23,4,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
23,5,5,"['space', 'l']","['a', 'f']",img/target_8.png
23,6,6,"['l', 'semicolon']","['f', 'space']",img/target_15.png
23,7,7,"['k', 'semicolon']","['d', 'space']",img/target_14.png
23,8,8,"['j', 'semicolon']","['s', 'space']",img/target_12.png
23,9,9,"['j', 'k']","['s', 'd']",img/target_10.png
23,10,10,"['j', 'l']","['s', 'f']",img/target_11.png
