pID,trialNum,walk,respR,respL,path
26,1,1,"['k', 'semicolon']","['d', 'space']",img/target_14.png
26,2,2,"['space', 'k']","['a', 'd']",img/target_7.png
26,3,3,"['j', 'semicolon']","['s', 'space']",img/target_12.png
26,4,4,"['j', 'k']","['s', 'd']",img/target_10.png
26,5,5,"['l', 'semicolon']","['f', 'space']",img/target_15.png
26,6,6,"['space', 'l']","['a', 'f']",img/target_8.png
26,7,7,"['space', 'semicolon']","['a', 'space']",img/target_9.png
26,8,8,"['j', 'l']","['s', 'f']",img/target_11.png
26,9,9,"['space', 'j']","['a', 's']",img/target_6.png
26,10,10,"['k', 'l']","['d', 'f']",img/target_13.png
