pID,trialNum,walk,respR,respL,path
28,1,1,"['j', 'semicolon']","['s', 'space']",img/target_12.png
28,2,2,"['space', 'l']","['a', 'f']",img/target_8.png
28,3,3,"['j', 'k']","['s', 'd']",img/target_10.png
28,4,4,"['k', 'semicolon']","['d', 'space']",img/target_14.png
28,5,5,"['k', 'l']","['d', 'f']",img/target_13.png
28,6,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
28,7,7,"['j', 'l']","['s', 'f']",img/target_11.png
28,8,8,"['space', 'k']","['a', 'd']",img/target_7.png
28,9,9,"['l', 'semicolon']","['f', 'space']",img/target_15.png
28,10,10,"['space', 'j']","['a', 's']",img/target_6.png
