pID,trialNum,walk,respR,respL,path
27,1,1,"['l', 'semicolon']","['f', 'space']",img/target_15.png
27,2,2,"['k', 'semicolon']","['d', 'space']",img/target_14.png
27,3,3,"['j', 'l']","['s', 'f']",img/target_11.png
27,4,4,"['space', 'l']","['a', 'f']",img/target_8.png
27,5,5,"['space', 'k']","['a', 'd']",img/target_7.png
27,6,6,"['j', 'semicolon']","['s', 'space']",img/target_12.png
27,7,7,"['k', 'l']","['d', 'f']",img/target_13.png
27,8,8,"['space', 'j']","['a', 's']",img/target_6.png
27,9,9,"['j', 'k']","['s', 'd']",img/target_10.png
27,10,10,"['space', 'semicolon']","['a', 'space']",img/target_9.png
