pID,sess,trialNum,graph,walk,resp,path
47,1,1,lattice,3,w,img/target_2.png
47,1,2,lattice,5,v,img/target_5.png
47,1,3,lattice,4,i,img/target_8.png
47,1,4,lattice,3,w,img/target_2.png
47,1,5,lattice,1,b,img/target_6.png
47,1,6,lattice,0,e,img/target_3.png
47,1,7,lattice,2,o,img/target_9.png
47,1,8,lattice,0,e,img/target_3.png
47,1,9,lattice,2,o,img/target_9.png
47,1,10,lattice,4,i,img/target_8.png
47,1,11,lattice,2,o,img/target_9.png
47,1,12,lattice,3,w,img/target_2.png
47,1,13,lattice,2,o,img/target_9.png
47,1,14,lattice,4,i,img/target_8.png
47,1,15,lattice,6,u,img/target_7.png
47,1,16,lattice,5,v,img/target_5.png
47,1,17,lattice,3,w,img/target_2.png
47,1,18,lattice,2,o,img/target_9.png
47,1,19,lattice,1,b,img/target_6.png
47,1,20,lattice,2,o,img/target_9.png
47,1,21,lattice,1,b,img/target_6.png
47,1,22,lattice,3,w,img/target_2.png
47,1,23,lattice,4,i,img/target_8.png
47,1,24,lattice,2,o,img/target_9.png
47,1,25,lattice,3,w,img/target_2.png
47,1,26,lattice,5,v,img/target_5.png
47,1,27,lattice,3,w,img/target_2.png
47,1,28,lattice,5,v,img/target_5.png
47,1,29,lattice,4,i,img/target_8.png
47,1,30,lattice,3,w,img/target_2.png
47,1,31,lattice,1,b,img/target_6.png
47,1,32,lattice,0,e,img/target_3.png
47,1,33,lattice,1,b,img/target_6.png
47,1,34,lattice,3,w,img/target_2.png
47,1,35,lattice,5,v,img/target_5.png
47,1,36,lattice,7,q,img/target_1.png
47,1,37,lattice,8,p,img/target_10.png
47,1,38,lattice,0,e,img/target_3.png
47,1,39,lattice,9,r,img/target_4.png
47,1,40,lattice,0,e,img/target_3.png
47,1,41,lattice,9,r,img/target_4.png
47,1,42,lattice,7,q,img/target_1.png
47,1,43,lattice,9,r,img/target_4.png
47,1,44,lattice,7,q,img/target_1.png
47,1,45,lattice,9,r,img/target_4.png
47,1,46,lattice,7,q,img/target_1.png
47,1,47,lattice,5,v,img/target_5.png
47,1,48,lattice,3,w,img/target_2.png
47,1,49,lattice,2,o,img/target_9.png
47,1,50,lattice,1,b,img/target_6.png
47,1,51,lattice,9,r,img/target_4.png
47,1,52,lattice,1,b,img/target_6.png
47,1,53,lattice,3,w,img/target_2.png
47,1,54,lattice,4,i,img/target_8.png
