pID,trialNum,walk,respR,respL,path
8,1,1,"['l', 'semicolon']","['f', 'space']",img/target_15.png
8,2,2,"['k', 'l']","['d', 'f']",img/target_13.png
8,3,3,"['space', 'j']","['a', 's']",img/target_6.png
8,4,4,"['space', 'k']","['a', 'd']",img/target_7.png
8,5,5,"['space', 'l']","['a', 'f']",img/target_8.png
8,6,6,"['j', 'l']","['s', 'f']",img/target_11.png
8,7,7,"['j', 'k']","['s', 'd']",img/target_10.png
8,8,8,"['j', 'semicolon']","['s', 'space']",img/target_12.png
8,9,9,"['k', 'semicolon']","['d', 'space']",img/target_14.png
8,10,10,"['space', 'semicolon']","['a', 'space']",img/target_9.png
