pID,trialNum,walk,respR,respL,path
36,1,1,"['k', 'l']","['d', 'f']",img/target_13.png
36,2,2,"['j', 'l']","['s', 'f']",img/target_11.png
36,3,3,"['space', 'l']","['a', 'f']",img/target_8.png
36,4,4,"['space', 'j']","['a', 's']",img/target_6.png
36,5,5,"['space', 'k']","['a', 'd']",img/target_7.png
36,6,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
36,7,7,"['j', 'k']","['s', 'd']",img/target_10.png
36,8,8,"['space', 'semicolon']","['a', 'space']",img/target_9.png
36,9,9,"['l', 'semicolon']","['f', 'space']",img/target_15.png
36,10,10,"['j', 'semicolon']","['s', 'space']",img/target_12.png
