pID,sess,trialNum,graph,walk,resp,path
21,3,1,lattice,3,e,img/target_3.png
21,3,2,lattice,2,v,img/target_5.png
21,3,3,lattice,1,i,img/target_8.png
21,3,4,lattice,9,p,img/target_10.png
21,3,5,lattice,0,o,img/target_9.png
21,3,6,lattice,2,v,img/target_5.png
21,3,7,lattice,0,o,img/target_9.png
21,3,8,lattice,9,p,img/target_10.png
21,3,9,lattice,0,o,img/target_9.png
21,3,10,lattice,1,i,img/target_8.png
21,3,11,lattice,3,e,img/target_3.png
21,3,12,lattice,4,r,img/target_4.png
21,3,13,lattice,3,e,img/target_3.png
21,3,14,lattice,2,v,img/target_5.png
21,3,15,lattice,0,o,img/target_9.png
21,3,16,lattice,1,i,img/target_8.png
21,3,17,lattice,9,p,img/target_10.png
21,3,18,lattice,1,i,img/target_8.png
21,3,19,lattice,9,p,img/target_10.png
21,3,20,lattice,7,q,img/target_1.png
21,3,21,lattice,6,w,img/target_2.png
21,3,22,lattice,4,r,img/target_4.png
21,3,23,lattice,6,w,img/target_2.png
21,3,24,lattice,5,u,img/target_7.png
21,3,25,lattice,6,w,img/target_2.png
21,3,26,lattice,8,b,img/target_6.png
21,3,27,lattice,0,o,img/target_9.png
21,3,28,lattice,8,b,img/target_6.png
21,3,29,lattice,7,q,img/target_1.png
21,3,30,lattice,8,b,img/target_6.png
21,3,31,lattice,9,p,img/target_10.png
21,3,32,lattice,0,o,img/target_9.png
21,3,33,lattice,8,b,img/target_6.png
21,3,34,lattice,9,p,img/target_10.png
21,3,35,lattice,1,i,img/target_8.png
21,3,36,lattice,2,v,img/target_5.png
21,3,37,lattice,4,r,img/target_4.png
21,3,38,lattice,6,w,img/target_2.png
21,3,39,lattice,4,r,img/target_4.png
21,3,40,lattice,2,v,img/target_5.png
21,3,41,lattice,3,e,img/target_3.png
21,3,42,lattice,2,v,img/target_5.png
21,3,43,lattice,3,e,img/target_3.png
21,3,44,lattice,4,r,img/target_4.png
21,3,45,lattice,6,w,img/target_2.png
21,3,46,lattice,7,q,img/target_1.png
21,3,47,lattice,6,w,img/target_2.png
21,3,48,lattice,8,b,img/target_6.png
21,3,49,lattice,6,w,img/target_2.png
21,3,50,lattice,4,r,img/target_4.png
21,3,51,lattice,5,u,img/target_7.png
21,3,52,lattice,4,r,img/target_4.png
