pID,trialNum,walk,respR,respL,path
21,1,1,"['space', 'semicolon']","['a', 'space']",img/target_9.png
21,2,2,"['k', 'l']","['d', 'f']",img/target_13.png
21,3,3,"['j', 'l']","['s', 'f']",img/target_11.png
21,4,4,"['space', 'k']","['a', 'd']",img/target_7.png
21,5,5,"['space', 'l']","['a', 'f']",img/target_8.png
21,6,6,"['k', 'semicolon']","['d', 'space']",img/target_14.png
21,7,7,"['space', 'j']","['a', 's']",img/target_6.png
21,8,8,"['l', 'semicolon']","['f', 'space']",img/target_15.png
21,9,9,"['j', 'semicolon']","['s', 'space']",img/target_12.png
21,10,10,"['j', 'k']","['s', 'd']",img/target_10.png
