pID,trialNum,walk,respR,respL,path
20,1,1,"['space', 'l']","['a', 'f']",img/target_8.png
20,2,2,"['j', 'k']","['s', 'd']",img/target_10.png
20,3,3,"['j', 'l']","['s', 'f']",img/target_11.png
20,4,4,"['space', 'j']","['a', 's']",img/target_6.png
20,5,5,"['l', 'semicolon']","['f', 'space']",img/target_15.png
20,6,6,"['j', 'semicolon']","['s', 'space']",img/target_12.png
20,7,7,"['space', 'semicolon']","['a', 'space']",img/target_9.png
20,8,8,"['k', 'semicolon']","['d', 'space']",img/target_14.png
20,9,9,"['space', 'k']","['a', 'd']",img/target_7.png
20,10,10,"['k', 'l']","['d', 'f']",img/target_13.png
