pID,sess,trialNum,graph,walk,resp,path
59,2,1,lattice,8,q,img/target_1.png
59,2,2,lattice,0,e,img/target_3.png
59,2,3,lattice,2,b,img/target_6.png
59,2,4,lattice,1,u,img/target_7.png
59,2,5,lattice,2,b,img/target_6.png
59,2,6,lattice,0,e,img/target_3.png
59,2,7,lattice,2,b,img/target_6.png
59,2,8,lattice,4,r,img/target_4.png
59,2,9,lattice,6,p,img/target_10.png
59,2,10,lattice,8,q,img/target_1.png
59,2,11,lattice,9,i,img/target_8.png
59,2,12,lattice,8,q,img/target_1.png
59,2,13,lattice,9,i,img/target_8.png
59,2,14,lattice,7,v,img/target_5.png
59,2,15,lattice,6,p,img/target_10.png
59,2,16,lattice,7,v,img/target_5.png
59,2,17,lattice,6,p,img/target_10.png
59,2,18,lattice,7,v,img/target_5.png
59,2,19,lattice,9,i,img/target_8.png
59,2,20,lattice,1,u,img/target_7.png
59,2,21,lattice,0,e,img/target_3.png
59,2,22,lattice,2,b,img/target_6.png
59,2,23,lattice,3,w,img/target_2.png
59,2,24,lattice,2,b,img/target_6.png
59,2,25,lattice,0,e,img/target_3.png
59,2,26,lattice,8,q,img/target_1.png
59,2,27,lattice,9,i,img/target_8.png
59,2,28,lattice,1,u,img/target_7.png
59,2,29,lattice,0,e,img/target_3.png
59,2,30,lattice,9,i,img/target_8.png
59,2,31,lattice,7,v,img/target_5.png
59,2,32,lattice,6,p,img/target_10.png
59,2,33,lattice,5,o,img/target_9.png
59,2,34,lattice,6,p,img/target_10.png
59,2,35,lattice,4,r,img/target_4.png
59,2,36,lattice,5,o,img/target_9.png
59,2,37,lattice,4,r,img/target_4.png
59,2,38,lattice,3,w,img/target_2.png
59,2,39,lattice,2,b,img/target_6.png
59,2,40,lattice,4,r,img/target_4.png
59,2,41,lattice,2,b,img/target_6.png
59,2,42,lattice,4,r,img/target_4.png
59,2,43,lattice,6,p,img/target_10.png
59,2,44,lattice,8,q,img/target_1.png
59,2,45,lattice,9,i,img/target_8.png
59,2,46,lattice,1,u,img/target_7.png
59,2,47,lattice,9,i,img/target_8.png
59,2,48,lattice,7,v,img/target_5.png
59,2,49,lattice,8,q,img/target_1.png
59,2,50,lattice,9,i,img/target_8.png
59,2,51,lattice,7,v,img/target_5.png
59,2,52,lattice,5,o,img/target_9.png
59,2,53,lattice,7,v,img/target_5.png
59,2,54,lattice,8,q,img/target_1.png
59,2,55,lattice,0,e,img/target_3.png
59,2,56,lattice,1,u,img/target_7.png
59,2,57,lattice,9,i,img/target_8.png
59,2,58,lattice,7,v,img/target_5.png
59,2,59,lattice,8,q,img/target_1.png
59,2,60,lattice,0,e,img/target_3.png
59,2,61,lattice,8,q,img/target_1.png
59,2,62,lattice,7,v,img/target_5.png
59,2,63,lattice,6,p,img/target_10.png
59,2,64,lattice,4,r,img/target_4.png
59,2,65,lattice,5,o,img/target_9.png
59,2,66,lattice,3,w,img/target_2.png
59,2,67,lattice,4,r,img/target_4.png
59,2,68,lattice,3,w,img/target_2.png
59,2,69,lattice,4,r,img/target_4.png
59,2,70,lattice,3,w,img/target_2.png
59,2,71,lattice,1,u,img/target_7.png
59,2,72,lattice,0,e,img/target_3.png
59,2,73,lattice,2,b,img/target_6.png
59,2,74,lattice,1,u,img/target_7.png
59,2,75,lattice,9,i,img/target_8.png
59,2,76,lattice,8,q,img/target_1.png
59,2,77,lattice,0,e,img/target_3.png
59,2,78,lattice,2,b,img/target_6.png
59,2,79,lattice,0,e,img/target_3.png
59,2,80,lattice,1,u,img/target_7.png
59,2,81,lattice,2,b,img/target_6.png
59,2,82,lattice,0,e,img/target_3.png
59,2,83,lattice,8,q,img/target_1.png
59,2,84,lattice,6,p,img/target_10.png
59,2,85,lattice,5,o,img/target_9.png
59,2,86,lattice,4,r,img/target_4.png
59,2,87,lattice,2,b,img/target_6.png
59,2,88,lattice,4,r,img/target_4.png
59,2,89,lattice,2,b,img/target_6.png
59,2,90,lattice,0,e,img/target_3.png
59,2,91,lattice,9,i,img/target_8.png
