pID,trialNum,graph,walk,resp,path
3,1,lattice,6,w,img/target_2.png
3,2,lattice,4,o,img/target_9.png
3,3,lattice,2,v,img/target_5.png
3,4,lattice,4,o,img/target_9.png
3,5,lattice,6,w,img/target_2.png
3,6,lattice,7,r,img/target_4.png
3,7,lattice,5,b,img/target_6.png
3,8,lattice,7,r,img/target_4.png
3,9,lattice,9,e,img/target_3.png
3,10,lattice,0,i,img/target_8.png
3,11,lattice,8,u,img/target_7.png
3,12,lattice,9,e,img/target_3.png
3,13,lattice,1,q,img/target_1.png
3,14,lattice,3,p,img/target_10.png
3,15,lattice,2,v,img/target_5.png
3,16,lattice,1,q,img/target_1.png
3,17,lattice,3,p,img/target_10.png
3,18,lattice,5,b,img/target_6.png
3,19,lattice,6,w,img/target_2.png
3,20,lattice,7,r,img/target_4.png
3,21,lattice,6,w,img/target_2.png
3,22,lattice,7,r,img/target_4.png
3,23,lattice,6,w,img/target_2.png
3,24,lattice,5,b,img/target_6.png
3,25,lattice,4,o,img/target_9.png
3,26,lattice,3,p,img/target_10.png
3,27,lattice,4,o,img/target_9.png
3,28,lattice,3,p,img/target_10.png
3,29,lattice,4,o,img/target_9.png
3,30,lattice,3,p,img/target_10.png
3,31,lattice,4,o,img/target_9.png
3,32,lattice,6,w,img/target_2.png
3,33,lattice,8,u,img/target_7.png
3,34,lattice,9,e,img/target_3.png
3,35,lattice,1,q,img/target_1.png
3,36,lattice,0,i,img/target_8.png
3,37,lattice,1,q,img/target_1.png
3,38,lattice,2,v,img/target_5.png
3,39,lattice,4,o,img/target_9.png
3,40,lattice,2,v,img/target_5.png
3,41,lattice,4,o,img/target_9.png
3,42,lattice,3,p,img/target_10.png
3,43,lattice,5,b,img/target_6.png
3,44,lattice,3,p,img/target_10.png
3,45,lattice,4,o,img/target_9.png
3,46,lattice,3,p,img/target_10.png
3,47,lattice,1,q,img/target_1.png
3,48,lattice,3,p,img/target_10.png
3,49,lattice,5,b,img/target_6.png
3,50,lattice,7,r,img/target_4.png
3,51,lattice,8,u,img/target_7.png
3,52,lattice,9,e,img/target_3.png
3,53,lattice,7,r,img/target_4.png
3,54,lattice,9,e,img/target_3.png
3,55,lattice,7,r,img/target_4.png
3,56,lattice,8,u,img/target_7.png
3,57,lattice,7,r,img/target_4.png
3,58,lattice,6,w,img/target_2.png
3,59,lattice,4,o,img/target_9.png
3,60,lattice,2,v,img/target_5.png
3,61,lattice,4,o,img/target_9.png
3,62,lattice,5,b,img/target_6.png
3,63,lattice,7,r,img/target_4.png
3,64,lattice,6,w,img/target_2.png
3,65,lattice,8,u,img/target_7.png
3,66,lattice,9,e,img/target_3.png
3,67,lattice,7,r,img/target_4.png
3,68,lattice,8,u,img/target_7.png
3,69,lattice,9,e,img/target_3.png
3,70,lattice,0,i,img/target_8.png
3,71,lattice,2,v,img/target_5.png
3,72,lattice,1,q,img/target_1.png
3,73,lattice,3,p,img/target_10.png
3,74,lattice,5,b,img/target_6.png
3,75,lattice,6,w,img/target_2.png
3,76,lattice,7,r,img/target_4.png
3,77,lattice,8,u,img/target_7.png
3,78,lattice,0,i,img/target_8.png
3,79,lattice,8,u,img/target_7.png
3,80,lattice,7,r,img/target_4.png
3,81,lattice,6,w,img/target_2.png
3,82,lattice,8,u,img/target_7.png
3,83,lattice,9,e,img/target_3.png
3,84,lattice,1,q,img/target_1.png
3,85,lattice,0,i,img/target_8.png
3,86,lattice,2,v,img/target_5.png
3,87,lattice,4,o,img/target_9.png
3,88,lattice,5,b,img/target_6.png
3,89,lattice,3,p,img/target_10.png
3,90,lattice,2,v,img/target_5.png
3,91,lattice,0,i,img/target_8.png
3,92,lattice,1,q,img/target_1.png
3,93,lattice,0,i,img/target_8.png
3,94,lattice,1,q,img/target_1.png
3,95,lattice,2,v,img/target_5.png
3,96,lattice,3,p,img/target_10.png
3,97,lattice,1,q,img/target_1.png
3,98,lattice,9,e,img/target_3.png
3,99,lattice,8,u,img/target_7.png
3,100,lattice,6,w,img/target_2.png
3,101,lattice,5,b,img/target_6.png
3,102,lattice,7,r,img/target_4.png
3,103,lattice,5,b,img/target_6.png
3,104,lattice,6,w,img/target_2.png
3,105,lattice,5,b,img/target_6.png
3,106,lattice,3,p,img/target_10.png
3,107,lattice,4,o,img/target_9.png
3,108,lattice,6,w,img/target_2.png
3,109,lattice,4,o,img/target_9.png
3,110,lattice,6,w,img/target_2.png
3,111,lattice,7,r,img/target_4.png
3,112,lattice,8,u,img/target_7.png
3,113,lattice,6,w,img/target_2.png
3,114,lattice,5,b,img/target_6.png
3,115,lattice,7,r,img/target_4.png
3,116,lattice,9,e,img/target_3.png
3,117,lattice,8,u,img/target_7.png
3,118,lattice,6,w,img/target_2.png
3,119,lattice,5,b,img/target_6.png
3,120,lattice,7,r,img/target_4.png
3,121,lattice,9,e,img/target_3.png
3,122,lattice,7,r,img/target_4.png
3,123,lattice,6,w,img/target_2.png
3,124,lattice,7,r,img/target_4.png
3,125,lattice,6,w,img/target_2.png
3,126,lattice,4,o,img/target_9.png
3,127,lattice,6,w,img/target_2.png
3,128,lattice,5,b,img/target_6.png
3,129,lattice,6,w,img/target_2.png
3,130,lattice,8,u,img/target_7.png
3,131,lattice,6,w,img/target_2.png
3,132,lattice,7,r,img/target_4.png
3,133,lattice,6,w,img/target_2.png
3,134,lattice,7,r,img/target_4.png
3,135,lattice,6,w,img/target_2.png
3,136,lattice,7,r,img/target_4.png
3,137,lattice,6,w,img/target_2.png
3,138,lattice,4,o,img/target_9.png
