pID,trialNum,walk,respR,respL,path
40,1,1,"['space', 'k']","['a', 'd']",img/target_7.png
40,2,2,"['j', 'semicolon']","['s', 'space']",img/target_12.png
40,3,3,"['space', 'j']","['a', 's']",img/target_6.png
40,4,4,"['k', 'semicolon']","['d', 'space']",img/target_14.png
40,5,5,"['l', 'semicolon']","['f', 'space']",img/target_15.png
40,6,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
40,7,7,"['space', 'l']","['a', 'f']",img/target_8.png
40,8,8,"['k', 'l']","['d', 'f']",img/target_13.png
40,9,9,"['j', 'l']","['s', 'f']",img/target_11.png
40,10,10,"['j', 'k']","['s', 'd']",img/target_10.png
