pID,trialNum,walk,respR,respL,path
32,1,1,"['space', 'k']","['a', 'd']",img/target_7.png
32,2,2,"['k', 'semicolon']","['d', 'space']",img/target_14.png
32,3,3,"['k', 'l']","['d', 'f']",img/target_13.png
32,4,4,"['space', 'j']","['a', 's']",img/target_6.png
32,5,5,"['j', 'l']","['s', 'f']",img/target_11.png
32,6,6,"['space', 'l']","['a', 'f']",img/target_8.png
32,7,7,"['l', 'semicolon']","['f', 'space']",img/target_15.png
32,8,8,"['j', 'semicolon']","['s', 'space']",img/target_12.png
32,9,9,"['space', 'semicolon']","['a', 'space']",img/target_9.png
32,10,10,"['j', 'k']","['s', 'd']",img/target_10.png
