pID,sess,trialNum,graph,walk,resp,path
23,1,1,lattice,3,p,img/target_10.png
23,1,2,lattice,2,e,img/target_3.png
23,1,3,lattice,0,q,img/target_1.png
23,1,4,lattice,1,b,img/target_6.png
23,1,5,lattice,0,q,img/target_1.png
23,1,6,lattice,1,b,img/target_6.png
23,1,7,lattice,3,p,img/target_10.png
23,1,8,lattice,1,b,img/target_6.png
23,1,9,lattice,9,o,img/target_9.png
23,1,10,lattice,0,q,img/target_1.png
23,1,11,lattice,9,o,img/target_9.png
23,1,12,lattice,7,r,img/target_4.png
23,1,13,lattice,5,v,img/target_5.png
23,1,14,lattice,6,u,img/target_7.png
23,1,15,lattice,8,i,img/target_8.png
23,1,16,lattice,9,o,img/target_9.png
23,1,17,lattice,8,i,img/target_8.png
23,1,18,lattice,6,u,img/target_7.png
23,1,19,lattice,7,r,img/target_4.png
23,1,20,lattice,9,o,img/target_9.png
23,1,21,lattice,1,b,img/target_6.png
23,1,22,lattice,9,o,img/target_9.png
23,1,23,lattice,1,b,img/target_6.png
23,1,24,lattice,3,p,img/target_10.png
23,1,25,lattice,4,w,img/target_2.png
23,1,26,lattice,6,u,img/target_7.png
23,1,27,lattice,7,r,img/target_4.png
23,1,28,lattice,5,v,img/target_5.png
23,1,29,lattice,4,w,img/target_2.png
23,1,30,lattice,6,u,img/target_7.png
23,1,31,lattice,5,v,img/target_5.png
23,1,32,lattice,4,w,img/target_2.png
23,1,33,lattice,5,v,img/target_5.png
23,1,34,lattice,4,w,img/target_2.png
23,1,35,lattice,6,u,img/target_7.png
23,1,36,lattice,7,r,img/target_4.png
23,1,37,lattice,5,v,img/target_5.png
23,1,38,lattice,7,r,img/target_4.png
23,1,39,lattice,8,i,img/target_8.png
23,1,40,lattice,7,r,img/target_4.png
23,1,41,lattice,8,i,img/target_8.png
23,1,42,lattice,6,u,img/target_7.png
23,1,43,lattice,5,v,img/target_5.png
23,1,44,lattice,4,w,img/target_2.png
23,1,45,lattice,6,u,img/target_7.png
23,1,46,lattice,4,w,img/target_2.png
23,1,47,lattice,3,p,img/target_10.png
23,1,48,lattice,2,e,img/target_3.png
23,1,49,lattice,4,w,img/target_2.png
23,1,50,lattice,3,p,img/target_10.png
23,1,51,lattice,5,v,img/target_5.png
23,1,52,lattice,7,r,img/target_4.png
23,1,53,lattice,6,u,img/target_7.png
23,1,54,lattice,7,r,img/target_4.png
23,1,55,lattice,9,o,img/target_9.png
23,1,56,lattice,8,i,img/target_8.png
23,1,57,lattice,6,u,img/target_7.png
23,1,58,lattice,8,i,img/target_8.png
23,1,59,lattice,9,o,img/target_9.png
23,1,60,lattice,0,q,img/target_1.png
23,1,61,lattice,9,o,img/target_9.png
23,1,62,lattice,0,q,img/target_1.png
23,1,63,lattice,9,o,img/target_9.png
23,1,64,lattice,8,i,img/target_8.png
23,1,65,lattice,7,r,img/target_4.png
23,1,66,lattice,5,v,img/target_5.png
23,1,67,lattice,4,w,img/target_2.png
23,1,68,lattice,2,e,img/target_3.png
23,1,69,lattice,3,p,img/target_10.png
23,1,70,lattice,5,v,img/target_5.png
23,1,71,lattice,4,w,img/target_2.png
23,1,72,lattice,5,v,img/target_5.png
23,1,73,lattice,6,u,img/target_7.png
23,1,74,lattice,4,w,img/target_2.png
23,1,75,lattice,6,u,img/target_7.png
23,1,76,lattice,7,r,img/target_4.png
23,1,77,lattice,8,i,img/target_8.png
23,1,78,lattice,7,r,img/target_4.png
23,1,79,lattice,6,u,img/target_7.png
23,1,80,lattice,7,r,img/target_4.png
23,1,81,lattice,8,i,img/target_8.png
23,1,82,lattice,0,q,img/target_1.png
23,1,83,lattice,1,b,img/target_6.png
23,1,84,lattice,2,e,img/target_3.png
23,1,85,lattice,3,p,img/target_10.png
23,1,86,lattice,5,v,img/target_5.png
23,1,87,lattice,6,u,img/target_7.png
23,1,88,lattice,4,w,img/target_2.png
23,1,89,lattice,2,e,img/target_3.png
23,1,90,lattice,0,q,img/target_1.png
23,1,91,lattice,8,i,img/target_8.png
23,1,92,lattice,6,u,img/target_7.png
23,1,93,lattice,8,i,img/target_8.png
23,1,94,lattice,6,u,img/target_7.png
23,1,95,lattice,5,v,img/target_5.png
23,1,96,lattice,6,u,img/target_7.png
23,1,97,lattice,8,i,img/target_8.png
23,1,98,lattice,6,u,img/target_7.png
23,1,99,lattice,8,i,img/target_8.png
23,1,100,lattice,9,o,img/target_9.png
23,1,101,lattice,7,r,img/target_4.png
23,1,102,lattice,9,o,img/target_9.png
23,1,103,lattice,0,q,img/target_1.png
23,1,104,lattice,8,i,img/target_8.png
23,1,105,lattice,7,r,img/target_4.png
23,1,106,lattice,8,i,img/target_8.png
23,1,107,lattice,0,q,img/target_1.png
23,1,108,lattice,9,o,img/target_9.png
23,1,109,lattice,0,q,img/target_1.png
23,1,110,lattice,9,o,img/target_9.png
23,1,111,lattice,7,r,img/target_4.png
23,1,112,lattice,8,i,img/target_8.png
23,1,113,lattice,6,u,img/target_7.png
23,1,114,lattice,8,i,img/target_8.png
23,1,115,lattice,6,u,img/target_7.png
23,1,116,lattice,5,v,img/target_5.png
23,1,117,lattice,4,w,img/target_2.png
23,1,118,lattice,6,u,img/target_7.png
23,1,119,lattice,7,r,img/target_4.png
23,1,120,lattice,5,v,img/target_5.png
23,1,121,lattice,7,r,img/target_4.png
23,1,122,lattice,6,u,img/target_7.png
23,1,123,lattice,7,r,img/target_4.png
23,1,124,lattice,5,v,img/target_5.png
23,1,125,lattice,6,u,img/target_7.png
23,1,126,lattice,4,w,img/target_2.png
23,1,127,lattice,3,p,img/target_10.png
23,1,128,lattice,2,e,img/target_3.png
23,1,129,lattice,1,b,img/target_6.png
23,1,130,lattice,0,q,img/target_1.png
23,1,131,lattice,2,e,img/target_3.png
23,1,132,lattice,4,w,img/target_2.png
23,1,133,lattice,3,p,img/target_10.png
23,1,134,lattice,2,e,img/target_3.png
23,1,135,lattice,1,b,img/target_6.png
23,1,136,lattice,0,q,img/target_1.png
23,1,137,lattice,1,b,img/target_6.png
23,1,138,lattice,2,e,img/target_3.png
23,1,139,lattice,3,p,img/target_10.png
23,1,140,lattice,1,b,img/target_6.png
23,1,141,lattice,0,q,img/target_1.png
23,1,142,lattice,2,e,img/target_3.png
23,1,143,lattice,1,b,img/target_6.png
23,1,144,lattice,0,q,img/target_1.png
23,1,145,lattice,8,i,img/target_8.png
23,1,146,lattice,6,u,img/target_7.png
23,1,147,lattice,4,w,img/target_2.png
23,1,148,lattice,5,v,img/target_5.png
23,1,149,lattice,4,w,img/target_2.png
23,1,150,lattice,6,u,img/target_7.png
23,1,151,lattice,5,v,img/target_5.png
23,1,152,lattice,3,p,img/target_10.png
23,1,153,lattice,1,b,img/target_6.png
23,1,154,lattice,9,o,img/target_9.png
23,1,155,lattice,8,i,img/target_8.png
23,1,156,lattice,0,q,img/target_1.png
23,1,157,lattice,2,e,img/target_3.png
23,1,158,lattice,0,q,img/target_1.png
23,1,159,lattice,2,e,img/target_3.png
23,1,160,lattice,0,q,img/target_1.png
23,1,161,lattice,1,b,img/target_6.png
23,1,162,lattice,3,p,img/target_10.png
23,1,163,lattice,4,w,img/target_2.png
23,1,164,lattice,3,p,img/target_10.png
23,1,165,lattice,1,b,img/target_6.png
23,1,166,lattice,0,q,img/target_1.png
23,1,167,lattice,9,o,img/target_9.png
23,1,168,lattice,8,i,img/target_8.png
23,1,169,lattice,6,u,img/target_7.png
23,1,170,lattice,7,r,img/target_4.png
23,1,171,lattice,8,i,img/target_8.png
23,1,172,lattice,7,r,img/target_4.png
23,1,173,lattice,8,i,img/target_8.png
23,1,174,lattice,9,o,img/target_9.png
23,1,175,lattice,7,r,img/target_4.png
23,1,176,lattice,6,u,img/target_7.png
23,1,177,lattice,5,v,img/target_5.png
23,1,178,lattice,7,r,img/target_4.png
23,1,179,lattice,9,o,img/target_9.png
23,1,180,lattice,0,q,img/target_1.png
23,1,181,lattice,9,o,img/target_9.png
23,1,182,lattice,7,r,img/target_4.png
23,1,183,lattice,5,v,img/target_5.png
23,1,184,lattice,6,u,img/target_7.png
23,1,185,lattice,4,w,img/target_2.png
23,1,186,lattice,3,p,img/target_10.png
23,1,187,lattice,2,e,img/target_3.png
23,1,188,lattice,0,q,img/target_1.png
23,1,189,lattice,1,b,img/target_6.png
23,1,190,lattice,3,p,img/target_10.png
23,1,191,lattice,2,e,img/target_3.png
23,1,192,lattice,1,b,img/target_6.png
23,1,193,lattice,9,o,img/target_9.png
23,1,194,lattice,0,q,img/target_1.png
23,1,195,lattice,1,b,img/target_6.png
23,1,196,lattice,3,p,img/target_10.png
23,1,197,lattice,5,v,img/target_5.png
23,1,198,lattice,6,u,img/target_7.png
23,1,199,lattice,8,i,img/target_8.png
23,1,200,lattice,7,r,img/target_4.png
23,1,201,lattice,8,i,img/target_8.png
23,1,202,lattice,6,u,img/target_7.png
23,1,203,lattice,7,r,img/target_4.png
