pID,sess,trialNum,graph,walk,resp,path
23,2,1,lattice,2,e,img/target_3.png
23,2,2,lattice,1,b,img/target_6.png
23,2,3,lattice,0,q,img/target_1.png
23,2,4,lattice,8,i,img/target_8.png
23,2,5,lattice,7,r,img/target_4.png
23,2,6,lattice,5,v,img/target_5.png
23,2,7,lattice,4,w,img/target_2.png
23,2,8,lattice,3,p,img/target_10.png
23,2,9,lattice,2,e,img/target_3.png
23,2,10,lattice,4,w,img/target_2.png
23,2,11,lattice,3,p,img/target_10.png
23,2,12,lattice,5,v,img/target_5.png
23,2,13,lattice,4,w,img/target_2.png
23,2,14,lattice,2,e,img/target_3.png
23,2,15,lattice,3,p,img/target_10.png
23,2,16,lattice,1,b,img/target_6.png
23,2,17,lattice,9,o,img/target_9.png
23,2,18,lattice,0,q,img/target_1.png
23,2,19,lattice,8,i,img/target_8.png
23,2,20,lattice,6,u,img/target_7.png
23,2,21,lattice,8,i,img/target_8.png
23,2,22,lattice,6,u,img/target_7.png
23,2,23,lattice,4,w,img/target_2.png
23,2,24,lattice,3,p,img/target_10.png
23,2,25,lattice,5,v,img/target_5.png
23,2,26,lattice,7,r,img/target_4.png
23,2,27,lattice,6,u,img/target_7.png
23,2,28,lattice,5,v,img/target_5.png
23,2,29,lattice,4,w,img/target_2.png
23,2,30,lattice,2,e,img/target_3.png
23,2,31,lattice,0,q,img/target_1.png
23,2,32,lattice,1,b,img/target_6.png
23,2,33,lattice,9,o,img/target_9.png
23,2,34,lattice,0,q,img/target_1.png
23,2,35,lattice,2,e,img/target_3.png
23,2,36,lattice,3,p,img/target_10.png
23,2,37,lattice,5,v,img/target_5.png
23,2,38,lattice,3,p,img/target_10.png
23,2,39,lattice,4,w,img/target_2.png
23,2,40,lattice,2,e,img/target_3.png
23,2,41,lattice,0,q,img/target_1.png
23,2,42,lattice,8,i,img/target_8.png
23,2,43,lattice,9,o,img/target_9.png
23,2,44,lattice,0,q,img/target_1.png
23,2,45,lattice,1,b,img/target_6.png
