sID,imageNums,imageFilenames
23,1,img/target_6.png
23,2,img/target_3.png
23,3,img/target_10.png
23,4,img/target_2.png
23,5,img/target_5.png
23,6,img/target_7.png
23,7,img/target_4.png
23,8,img/target_8.png
23,9,img/target_9.png
23,10,img/target_1.png
