pID,trialNum,walk,respR,respL,path
37,1,1,"['j', 'k']","['s', 'd']",img/target_10.png
37,2,2,"['k', 'l']","['d', 'f']",img/target_13.png
37,3,3,"['j', 'l']","['s', 'f']",img/target_11.png
37,4,4,"['k', 'semicolon']","['d', 'space']",img/target_14.png
37,5,5,"['space', 'l']","['a', 'f']",img/target_8.png
37,6,6,"['j', 'semicolon']","['s', 'space']",img/target_12.png
37,7,7,"['space', 'k']","['a', 'd']",img/target_7.png
37,8,8,"['space', 'semicolon']","['a', 'space']",img/target_9.png
37,9,9,"['space', 'j']","['a', 's']",img/target_6.png
37,10,10,"['l', 'semicolon']","['f', 'space']",img/target_15.png
