pID,trialNum,walk,respR,respL,path
42,1,1,"['space', 'k']","['a', 'd']",img/target_7.png
42,2,2,"['space', 'semicolon']","['a', 'space']",img/target_9.png
42,3,3,"['space', 'j']","['a', 's']",img/target_6.png
42,4,4,"['space', 'l']","['a', 'f']",img/target_8.png
42,5,5,"['j', 'semicolon']","['s', 'space']",img/target_12.png
42,6,6,"['l', 'semicolon']","['f', 'space']",img/target_15.png
42,7,7,"['k', 'l']","['d', 'f']",img/target_13.png
42,8,8,"['j', 'l']","['s', 'f']",img/target_11.png
42,9,9,"['k', 'semicolon']","['d', 'space']",img/target_14.png
42,10,10,"['j', 'k']","['s', 'd']",img/target_10.png
