pID,trialNum,walk,respR,respL,path
5,1,1,"['k', 'semicolon']","['d', 'space']",img/target_14.png
5,2,2,"['l', 'semicolon']","['f', 'space']",img/target_15.png
5,3,3,"['space', 'j']","['a', 's']",img/target_6.png
5,4,4,"['space', 'semicolon']","['a', 'space']",img/target_9.png
5,5,5,"['j', 'l']","['s', 'f']",img/target_11.png
5,6,6,"['j', 'k']","['s', 'd']",img/target_10.png
5,7,7,"['space', 'k']","['a', 'd']",img/target_7.png
5,8,8,"['k', 'l']","['d', 'f']",img/target_13.png
5,9,9,"['j', 'semicolon']","['s', 'space']",img/target_12.png
5,10,10,"['space', 'l']","['a', 'f']",img/target_8.png
