sID,imageNums,imageFilenames
9,1,img/target_10.png
9,2,img/target_3.png
9,3,img/target_5.png
9,4,img/target_6.png
9,5,img/target_4.png
9,6,img/target_7.png
9,7,img/target_8.png
9,8,img/target_9.png
9,9,img/target_1.png
9,10,img/target_2.png
