pID,trialNum,walk,respR,respL,path
1,1,1,"['j', 'k']","['s', 'd']",img/target_10.png
1,2,2,"['space', 'k']","['a', 'd']",img/target_7.png
1,3,3,"['l', 'semicolon']","['f', 'space']",img/target_15.png
1,4,4,"['j', 'semicolon']","['s', 'space']",img/target_12.png
1,5,5,"['k', 'l']","['d', 'f']",img/target_13.png
1,6,6,"['space', 'semicolon']","['a', 'space']",img/target_9.png
1,7,7,"['space', 'l']","['a', 'f']",img/target_8.png
1,8,8,"['j', 'l']","['s', 'f']",img/target_11.png
1,9,9,"['space', 'j']","['a', 's']",img/target_6.png
1,10,10,"['k', 'semicolon']","['d', 'space']",img/target_14.png
