pID,trialNum,walk,respR,respL,path
30,1,1,"['j', 'semicolon']","['s', 'space']",img/target_12.png
30,2,2,"['j', 'l']","['s', 'f']",img/target_11.png
30,3,3,"['space', 'k']","['a', 'd']",img/target_7.png
30,4,4,"['space', 'l']","['a', 'f']",img/target_8.png
30,5,5,"['j', 'k']","['s', 'd']",img/target_10.png
30,6,6,"['k', 'l']","['d', 'f']",img/target_13.png
30,7,7,"['space', 'semicolon']","['a', 'space']",img/target_9.png
30,8,8,"['space', 'j']","['a', 's']",img/target_6.png
30,9,9,"['k', 'semicolon']","['d', 'space']",img/target_14.png
30,10,10,"['l', 'semicolon']","['f', 'space']",img/target_15.png
