respL,graph,trialNum,path,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['d', 'f']",lattice,35,img/target_13.png,1,"['k', 'l']",5,0.05000000074505806,1.0,128.6355438232422,"['k', 'l']",2.0188329219818115,34.0
"['a', 'space']",lattice,36,img/target_9.png,1,"['space', 'semicolon']",6,0.05000000074505806,0.0,130.7527618408203,"['semicolon', 'space']",1.1004321575164795,35.0
"['d', 'f']",lattice,37,img/target_13.png,1,"['k', 'l']",5,0.05000000074505806,1.0,133.15406799316406,"['k', 'l']",1.5552830696105957,36.0
"['f', 'space']",lattice,38,img/target_15.png,1,"['l', 'semicolon']",3,0.05000000074505806,1.0,134.80325317382812,"['l', 'semicolon']",2.202720880508423,37.0
"['s', 'space']",lattice,39,img/target_12.png,1,"['j', 'semicolon']",4,0.05000000074505806,1.0,137.103759765625,"['j', 'semicolon']",1.4135689735412598,38.0
"['f', 'space']",lattice,40,img/target_15.png,1,"['l', 'semicolon']",3,0.05000000074505806,1.0,138.61984252929688,"['l', 'semicolon']",1.265491008758545,39.0
"['a', 'd']",lattice,41,img/target_7.png,1,"['space', 'k']",2,0.05000000074505806,1.0,139.9901885986328,"['k', 'space']",1.919950008392334,40.0
"['d', 'space']",lattice,42,img/target_14.png,1,"['k', 'semicolon']",0,0.05000000074505806,1.0,142.00466918945312,"['k', 'semicolon']",1.6813058853149414,41.0
"['a', 'd']",lattice,43,img/target_7.png,1,"['space', 'k']",2,0.05000000074505806,1.0,143.7877655029297,"['k', 'space']",1.0823538303375244,42.0
"['s', 'space']",lattice,44,img/target_12.png,1,"['j', 'semicolon']",4,0.05000000074505806,1.0,144.97067260742188,"['j', 'semicolon']",1.5315659046173096,43.0
"['a', 'd']",lattice,45,img/target_7.png,1,"['space', 'k']",2,0.05000000074505806,0.0,146.6048126220703,"['k', 'space']",1.1359469890594482,44.0
"['s', 'space']",lattice,46,img/target_12.png,1,"['j', 'semicolon']",4,0.05000000074505806,1.0,249.21453857421875,"['j', 'semicolon']",5.54801607131958,45.0
"['f', 'space']",lattice,47,img/target_15.png,1,"['l', 'semicolon']",3,0.05000000074505806,1.0,254.86483764648438,"['l', 'semicolon']",1.8096530437469482,46.0
"['a', 'd']",lattice,48,img/target_7.png,1,"['space', 'k']",2,0.05000000074505806,0.0,256.7650146484375,"['k', 'space']",3.9813671112060547,47.0
"['s', 'space']",lattice,49,img/target_12.png,1,"['j', 'semicolon']",4,0.05000000074505806,1.0,264.4005126953125,"['j', 'semicolon']",4.4332499504089355,48.0
"['a', 'd']",lattice,50,img/target_7.png,1,"['space', 'k']",2,0.05000000074505806,1.0,268.9352111816406,"['k', 'space']",2.770448923110962,49.0
"['d', 'space']",lattice,51,img/target_14.png,1,"['k', 'semicolon']",0,0.05000000074505806,0.0,271.7997131347656,"['k', 'semicolon']",2.737933874130249,50.0
"['s', 'd']",lattice,52,img/target_10.png,1,"['j', 'k']",1,0.05000000074505806,1.0,275.45001220703125,"['j', 'k']",1.5279059410095215,51.0
"['a', 's']",lattice,53,img/target_6.png,1,"['space', 'j']",9,0.05000000074505806,1.0,277.0669860839844,"['j', 'space']",1.750641107559204,52.0
"['s', 'f']",lattice,54,img/target_11.png,1,"['j', 'l']",8,0.05000000074505806,1.0,278.91741943359375,"['j', 'l']",3.4030587673187256,53.0
"['a', 'f']",lattice,55,img/target_8.png,1,"['space', 'l']",7,0.05000000074505806,1.0,282.4173889160156,"['l', 'space']",2.400146961212158,54.0
"['s', 'f']",lattice,56,img/target_11.png,1,"['j', 'l']",8,0.05000000074505806,1.0,284.9021301269531,"['j', 'l']",1.5791051387786865,55.0
"['a', 's']",lattice,57,img/target_6.png,1,"['space', 'j']",9,0.05000000074505806,0.0,286.56793212890625,"['j', 'space']",1.6960468292236328,56.0
"['d', 'space']",lattice,58,img/target_14.png,1,"['k', 'semicolon']",0,0.05000000074505806,0.0,289.3848571777344,"['k', 'semicolon']",1.5991559028625488,57.0
"['s', 'd']",lattice,59,img/target_10.png,1,"['j', 'k']",1,0.05000000074505806,1.0,295.185791015625,"['j', 'k']",1.678976058959961,58.0
"['f', 'space']",lattice,60,img/target_15.png,1,"['l', 'semicolon']",3,0.05000000074505806,1.0,296.95220947265625,"['l', 'semicolon']",1.8965630531311035,59.0
