path,resp,trialNum,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
img/target_4_prac.png,r,1,4,1,0.05000000074505806,1.0,0.013625144958496094,['r'],,0.0
img/target_1_prac.png,q,2,4,2,0.05000000074505806,1.0,0.9628860950469971,['q'],,1.0
img/target_8_prac.png,i,3,4,3,0.05000000074505806,1.0,1.5950140953063965,['i'],,2.0
img/target_10_prac.png,p,4,4,4,0.05000000074505806,1.0,3.828493118286133,['p'],,3.0
img/target_6_prac.png,b,5,4,5,0.05000000074505806,1.0,4.379694938659668,['b'],,4.0
img/target_5_prac.png,v,6,4,6,0.05000000074505806,1.0,5.045282363891602,['v'],,5.0
img/target_3_prac.png,e,7,4,7,0.05000000074505806,1.0,5.5132341384887695,['e'],,6.0
img/target_9_prac.png,o,8,4,8,0.05000000074505806,1.0,6.378600120544434,['o'],,7.0
img/target_2_prac.png,w,9,4,9,0.05000000074505806,1.0,7.046388149261475,['w'],,8.0
img/target_7_prac.png,u,10,4,10,0.05000000074505806,1.0,8.078998565673828,['u'],,9.0
