sess,graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
2,modular,883,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,884,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,885,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,886,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,887,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,888,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,889,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,890,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,891,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,892,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,893,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,894,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,895,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,896,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,897,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,898,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,899,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,900,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,901,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,902,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,903,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,904,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,905,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,906,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,907,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,908,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,909,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,910,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,911,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,912,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,913,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,914,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,915,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,916,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,917,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,918,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,919,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,920,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,921,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,922,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,923,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,924,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,925,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,926,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,927,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,928,b,img/target_6.png,60,5,,,,'--',,'--',
