path,resp,trialNum,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
img/target_7_prac.png,u,1,2,1,0.05000000074505806,1.0,0.012605905532836914,['u'],,0.0
img/target_1_prac.png,q,2,2,2,0.05000000074505806,1.0,0.9093029499053955,['q'],,1.0
img/target_4_prac.png,r,3,2,3,0.05000000074505806,1.0,1.6447150707244873,['r'],,2.0
img/target_9_prac.png,o,4,2,4,0.05000000074505806,1.0,2.2450129985809326,['o'],,3.0
img/target_3_prac.png,e,5,2,5,0.05000000074505806,1.0,3.077785015106201,['e'],,4.0
img/target_8_prac.png,i,6,2,6,0.05000000074505806,1.0,3.911273956298828,['i'],,5.0
img/target_5_prac.png,v,7,2,7,0.05000000074505806,1.0,4.678753852844238,['v'],,6.0
img/target_6_prac.png,b,8,2,8,0.05000000074505806,1.0,5.428766250610352,['b'],,7.0
img/target_10_prac.png,p,9,2,9,0.05000000074505806,1.0,5.9788689613342285,['p'],,8.0
img/target_2_prac.png,w,10,2,10,0.05000000074505806,1.0,6.661397933959961,['w'],,9.0
